评论内容,观点词
"刚刚收到,2天我晕,一般快递最快到我们这要3天呢,赞个!!!   包装台简单了,说明书看不懂。 瓶子半透明。   问了官方,说卓越也是他们的合作伙伴,正品放心。",刚到!!!!!!!!
不过这本书没有赠送什么代金券。体现不出以前的正版图书送网站学习代金券的特点。,很好的一本书
"很负责任的说一句,亚马逊给我发过来的手机绝对是二手的!!",二手手机
"这本书内容很好,就是送的光盘不行。这次重新订购了一套,期望发过来的光盘能用",送的光盘不行
"很实用的一本书,非常喜欢!",很实用
"书籍本身没有问题,货物的包装实在不敢恭维。不知出于何种考虑,先前的纸盒包装现在换成了塑料袋,拍下的两本精装书拿到手居然卷了边,超级郁闷。以此种方式来降低成本,实在不足取。省下的只是仨瓜俩枣,失去的却是人们的信任。",关于书籍的包装
"包装很好,内容也不错",挺好的
希望能尽快便宜一些!,便宜点最好了
对于自主游玩川渝还是很有帮助的,物流 包装 一如既往
"教育就是解放心灵,获得自由",需要细细品味和琢磨的一本书
"从基础入手,浅显易懂!",非常不错
"薄薄的一本,什么都没有,看到实物绝对不买。",不好。
书应该和配套教材搭起来卖就好了。配套的光盘在教材的那本书里。不过书本身的质量很不错。,这本是配套练习。
"许飞的声音——26度,超舒服! 虽然只有五首歌,但首首是精品。 超五星EP","许飞的声音——26度,超舒服!"
"把它送给外甥女,希望喜欢",挺好的
"都很想退货了, 书的内容蛮无趣不如盗墓笔不说, 错字看的人头疼,不可能是正版吧~记",不行的~
"书还不错,唯一的缺陷就是书页胶粘的不好,掉页情况严重。希望以后可以改进。",书有瑕疵
"印刷不错,只是原来以为里面会附上英文版的。",东西不错
"刚开封,笔头整个缩了进去,根本没办法用!!",笔头坏了!!
"卓越的价钱还是挺便宜的,书本印刷也不错",一直想买这个
是真品 跟在海关买的一样 就是今年海关自己出的书质量没那么好 跟一般小出版社出的便宜书一样 跟2010版的正版更没得比,真品
"新手必备,反正我按着上面的配方,做了蛋糕跟饼干,蛋糕虽然没有100%的成功,有点回缩跟开裂,不过口感不错,松软~这本书还是不错的,家里没有糖粉,就告诉你用料理机把糖打碎就成了,不用特意买多一样材料~非常适合新手。",新手必备
"通信常识较为全面,通俗易懂,不错的 里面讲了好多通信的技术和实例,国内外的都有,还不错","通信常识较为全面,通俗易懂,不错的"
"DK系列的书以及买了一本百科,比较的写实。对于年龄较小的孩子来说,适合和大人一起看。图片都不错,印刷都很精美。将来孩子会不会喜欢呢?会的吧!嘻嘻。。。卓越的服务不错,虽然有时不尽如意,但是,应该是很努力了,谢谢!会继续支持!",印刷质量很好!
"这书不会是盗版的吧?毛边极多,里面好多页都是连在一起的,感觉和盗版书似的,拍了照片不知道怎么上传上来。送书的速度倒还挺快!",这书不会是盗版的吧?
